review,sentiment
Dr. Garcia provided compassionate care and explained everything,positive
"caring experience, highly recommend this hospital",positive
"compassionate experience, highly recommend this hospital",positive
The facility was clean and the staff was excellent,positive
The surgeon was attentive during my surgery,positive
"compassionate experience, highly recommend this hospital",positive
The technician was excellent during my appointment,positive
Dr. Williams provided excellent care and explained everything,positive
The clinic was clean and the staff was professional,positive
The hospital was clean and the staff was compassionate,positive
"caring experience, highly recommend this hospital",positive
The specialist was excellent during my appointment,positive
The receptionist was compassionate during my surgery,positive
The surgeon was attentive during my surgery,positive
"caring experience, highly recommend this hospital",positive
Dr. Smith provided attentive care and explained everything,positive
Excellent service from the neurology department,positive
Excellent treatment from the emergency department,positive
"excellent experience, highly recommend this hospital",positive
"caring experience, highly recommend this hospital",positive
The clinic was clean and the staff was compassionate,positive
The receptionist was excellent during my surgery,positive
"professional experience, highly recommend this hospital",positive
Dr. Garcia provided supportive care and explained everything,positive
Dr. Williams provided attentive care and explained everything,positive
Excellent treatment from the emergency department,positive
Dr. Garcia provided attentive care and explained everything,positive
The specialist was attentive during my treatment,positive
"excellent experience, highly recommend this hospital",positive
The specialist was professional during my appointment,positive
The facility was clean and the staff was attentive,positive
Dr. Brown provided excellent care and explained everything,positive
The nurse was excellent during my appointment,positive
The hospital was clean and the staff was compassionate,positive
The hospital was clean and the staff was supportive,positive
The doctor was caring during my appointment,positive
Dr. Williams provided professional care and explained everything,positive
Dr. Brown provided compassionate care and explained everything,positive
"compassionate experience, highly recommend this hospital",positive
"excellent experience, highly recommend this hospital",positive
"attentive experience, highly recommend this hospital",positive
The doctor was caring during my surgery,positive
The doctor was caring during my recovery,positive
The facility was clean and the staff was attentive,positive
Excellent service from the emergency department,positive
"caring experience, highly recommend this hospital",positive
"excellent experience, highly recommend this hospital",positive
Excellent service from the oncology department,positive
"caring experience, highly recommend this hospital",positive
Excellent care from the oncology department,positive
The clinic was clean and the staff was professional,positive
Excellent treatment from the cardiology department,positive
"excellent experience, highly recommend this hospital",positive
"attentive experience, highly recommend this hospital",positive
The receptionist was excellent during my treatment,positive
"professional experience, highly recommend this hospital",positive
"compassionate experience, highly recommend this hospital",positive
"attentive experience, highly recommend this hospital",positive
Excellent care from the orthopedics department,positive
"compassionate experience, highly recommend this hospital",positive
"excellent experience, highly recommend this hospital",positive
Excellent service from the cardiology department,positive
"supportive experience, highly recommend this hospital",positive
Dr. Garcia provided attentive care and explained everything,positive
The technician was supportive during my treatment,positive
Dr. Johnson provided compassionate care and explained everything,positive
Excellent care from the emergency department,positive
"compassionate experience, highly recommend this hospital",positive
"supportive experience, highly recommend this hospital",positive
"excellent experience, highly recommend this hospital",positive
The hospital was clean and the staff was professional,positive
The facility was clean and the staff was caring,positive
The hospital was clean and the staff was compassionate,positive
The receptionist was caring during my treatment,positive
The receptionist was attentive during my surgery,positive
"compassionate experience, highly recommend this hospital",positive
The specialist was caring during my appointment,positive
Excellent care from the oncology department,positive
The clinic was clean and the staff was supportive,positive
The doctor was caring during my appointment,positive
"compassionate experience, highly recommend this hospital",positive
"attentive experience, highly recommend this hospital",positive
Excellent service from the pediatrics department,positive
"caring experience, highly recommend this hospital",positive
The clinic was clean and the staff was attentive,positive
Excellent service from the pediatrics department,positive
The hospital was clean and the staff was excellent,positive
The surgeon was supportive during my appointment,positive
The clinic was clean and the staff was compassionate,positive
Dr. Brown provided attentive care and explained everything,positive
The hospital was clean and the staff was attentive,positive
Dr. Garcia provided supportive care and explained everything,positive
The clinic was clean and the staff was professional,positive
"compassionate experience, highly recommend this hospital",positive
"compassionate experience, highly recommend this hospital",positive
Excellent care from the neurology department,positive
The surgeon was attentive during my treatment,positive
Dr. Johnson provided supportive care and explained everything,positive
The hospital was clean and the staff was excellent,positive
"compassionate experience, highly recommend this hospital",positive
The hospital was clean and the staff was excellent,positive
The facility was clean and the staff was professional,positive
The clinic was clean and the staff was caring,positive
The hospital was clean and the staff was excellent,positive
The technician was compassionate during my appointment,positive
"excellent experience, highly recommend this hospital",positive
Dr. Garcia provided professional care and explained everything,positive
"excellent experience, highly recommend this hospital",positive
Excellent service from the emergency department,positive
"professional experience, highly recommend this hospital",positive
Dr. Jones provided professional care and explained everything,positive
"supportive experience, highly recommend this hospital",positive
The facility was clean and the staff was compassionate,positive
The facility was clean and the staff was professional,positive
The facility was clean and the staff was excellent,positive
"supportive experience, highly recommend this hospital",positive
Excellent service from the oncology department,positive
"compassionate experience, highly recommend this hospital",positive
"attentive experience, highly recommend this hospital",positive
The specialist was caring during my recovery,positive
Dr. Brown provided supportive care and explained everything,positive
Excellent care from the pediatrics department,positive
The clinic was clean and the staff was supportive,positive
Excellent care from the emergency department,positive
The hospital was clean and the staff was caring,positive
The facility was clean and the staff was excellent,positive
Excellent service from the cardiology department,positive
The technician was attentive during my surgery,positive
Dr. Jones provided supportive care and explained everything,positive
The clinic was clean and the staff was supportive,positive
Dr. Garcia provided caring care and explained everything,positive
"compassionate experience, highly recommend this hospital",positive
"caring experience, highly recommend this hospital",positive
The hospital was clean and the staff was supportive,positive
Dr. Garcia provided caring care and explained everything,positive
Excellent treatment from the pediatrics department,positive
"professional experience, highly recommend this hospital",positive
The technician was caring during my treatment,positive
Excellent care from the orthopedics department,positive
"professional experience, highly recommend this hospital",positive
Dr. Jones provided supportive care and explained everything,positive
"excellent experience, highly recommend this hospital",positive
Excellent treatment from the oncology department,positive
The surgeon was attentive during my recovery,positive
The doctor was supportive during my surgery,positive
Excellent care from the emergency department,positive
"caring experience, highly recommend this hospital",positive
The clinic was clean and the staff was compassionate,positive
The specialist was caring during my appointment,positive
Excellent service from the pediatrics department,positive
Dr. Jones provided supportive care and explained everything,positive
The clinic was clean and the staff was attentive,positive
The clinic was clean and the staff was caring,positive
Dr. Jones provided caring care and explained everything,positive
"excellent experience, highly recommend this hospital",positive
The hospital was clean and the staff was professional,positive
Excellent care from the emergency department,positive
Dr. Johnson provided compassionate care and explained everything,positive
Excellent service from the neurology department,positive
The hospital was clean and the staff was attentive,positive
Dr. Garcia provided caring care and explained everything,positive
"attentive experience, highly recommend this hospital",positive
Excellent service from the oncology department,positive
The receptionist was professional during my appointment,positive
The nurse was supportive during my surgery,positive
"caring experience, highly recommend this hospital",positive
Dr. Johnson provided compassionate care and explained everything,positive
The surgeon was attentive during my surgery,positive
Excellent service from the neurology department,positive
The hospital was clean and the staff was professional,positive
The facility was clean and the staff was compassionate,positive
The hospital was clean and the staff was excellent,positive
"compassionate experience, highly recommend this hospital",positive
"professional experience, highly recommend this hospital",positive
The facility was clean and the staff was attentive,positive
The specialist was attentive during my surgery,positive
"professional experience, highly recommend this hospital",positive
Dr. Garcia provided caring care and explained everything,positive
"compassionate experience, highly recommend this hospital",positive
Dr. Brown provided compassionate care and explained everything,positive
Dr. Brown provided compassionate care and explained everything,positive
"compassionate experience, highly recommend this hospital",positive
The receptionist was excellent during my recovery,positive
The nurse was professional during my surgery,positive
Dr. Williams provided caring care and explained everything,positive
The clinic was clean and the staff was excellent,positive
Dr. Johnson provided supportive care and explained everything,positive
Dr. Jones provided excellent care and explained everything,positive
The hospital was clean and the staff was supportive,positive
"professional experience, highly recommend this hospital",positive
Excellent care from the oncology department,positive
Excellent care from the neurology department,positive
Excellent care from the cardiology department,positive
Excellent service from the cardiology department,positive
The facility was clean and the staff was compassionate,positive
Excellent treatment from the cardiology department,positive
"excellent experience, highly recommend this hospital",positive
Excellent treatment from the cardiology department,positive
The technician was excellent during my treatment,positive
Dr. Smith provided compassionate care and explained everything,positive
The hospital was clean and the staff was excellent,positive
"caring experience, highly recommend this hospital",positive
The hospital was clean and the staff was excellent,positive
"caring experience, highly recommend this hospital",positive
Dr. Brown provided compassionate care and explained everything,positive
Dr. Garcia provided excellent care and explained everything,positive
The doctor was professional during my treatment,positive
The surgeon was compassionate during my appointment,positive
"compassionate experience, highly recommend this hospital",positive
The hospital was clean and the staff was caring,positive
The technician was attentive during my recovery,positive
The surgeon was attentive during my surgery,positive
Dr. Jones provided professional care and explained everything,positive
The clinic was clean and the staff was professional,positive
The hospital was clean and the staff was excellent,positive
The clinic was clean and the staff was caring,positive
The specialist was supportive during my recovery,positive
Dr. Williams provided attentive care and explained everything,positive
The specialist was professional during my recovery,positive
The receptionist was compassionate during my surgery,positive
The hospital was clean and the staff was attentive,positive
Dr. Johnson provided attentive care and explained everything,positive
Dr. Jones provided excellent care and explained everything,positive
The facility was clean and the staff was compassionate,positive
The facility was clean and the staff was attentive,positive
Excellent treatment from the emergency department,positive
Excellent treatment from the emergency department,positive
Dr. Brown provided attentive care and explained everything,positive
"supportive experience, highly recommend this hospital",positive
Dr. Jones provided professional care and explained everything,positive
The clinic was clean and the staff was attentive,positive
The surgeon was supportive during my surgery,positive
The hospital was clean and the staff was attentive,positive
"caring experience, highly recommend this hospital",positive
"compassionate experience, highly recommend this hospital",positive
"caring experience, highly recommend this hospital",positive
"excellent experience, highly recommend this hospital",positive
The receptionist was excellent during my surgery,positive
Excellent treatment from the neurology department,positive
Excellent service from the pediatrics department,positive
Excellent treatment from the cardiology department,positive
"caring experience, highly recommend this hospital",positive
"compassionate experience, highly recommend this hospital",positive
The technician was caring during my recovery,positive
The technician was professional during my appointment,positive
The clinic was clean and the staff was caring,positive
The clinic was clean and the staff was caring,positive
The specialist was caring during my recovery,positive
Dr. Jones provided professional care and explained everything,positive
Excellent treatment from the cardiology department,positive
Excellent service from the oncology department,positive
The clinic was clean and the staff was caring,positive
The receptionist was excellent during my recovery,positive
"supportive experience, highly recommend this hospital",positive
"professional experience, highly recommend this hospital",positive
"professional experience, highly recommend this hospital",positive
Excellent care from the neurology department,positive
"compassionate experience, highly recommend this hospital",positive
"excellent experience, highly recommend this hospital",positive
"supportive experience, highly recommend this hospital",positive
The facility was clean and the staff was caring,positive
Excellent care from the pediatrics department,positive
The nurse was supportive during my surgery,positive
The specialist was supportive during my surgery,positive
The doctor was professional during my treatment,positive
Excellent care from the oncology department,positive
Dr. Williams provided excellent care and explained everything,positive
The doctor was attentive during my recovery,positive
Dr. Jones provided compassionate care and explained everything,positive
"professional experience, highly recommend this hospital",positive
The surgeon was compassionate during my surgery,positive
The surgeon was professional during my surgery,positive
The specialist was excellent during my appointment,positive
"supportive experience, highly recommend this hospital",positive
The hospital was clean and the staff was attentive,positive
Excellent service from the cardiology department,positive
The doctor was compassionate during my surgery,positive
Excellent treatment from the emergency department,positive
"professional experience, highly recommend this hospital",positive
The facility was clean and the staff was excellent,positive
Dr. Johnson provided supportive care and explained everything,positive
The facility was clean and the staff was excellent,positive
The hospital was clean and the staff was attentive,positive
Excellent care from the emergency department,positive
The facility was clean and the staff was professional,positive
"supportive experience, highly recommend this hospital",positive
Excellent treatment from the oncology department,positive
Excellent treatment from the oncology department,positive
"caring experience, highly recommend this hospital",positive
The clinic was clean and the staff was compassionate,positive
Excellent treatment from the emergency department,positive
The technician was excellent during my appointment,positive
The hospital was clean and the staff was supportive,positive
Dr. Garcia provided attentive care and explained everything,positive
Excellent care from the oncology department,positive
Dr. Jones provided caring care and explained everything,positive
The doctor was professional during my treatment,positive
The doctor was supportive during my surgery,positive
Dr. Williams provided caring care and explained everything,positive
"caring experience, highly recommend this hospital",positive
Excellent service from the emergency department,positive
Excellent care from the oncology department,positive
The receptionist was supportive during my treatment,positive
Excellent care from the cardiology department,positive
The hospital was clean and the staff was excellent,positive
The hospital was clean and the staff was supportive,positive
Excellent care from the orthopedics department,positive
Dr. Johnson provided professional care and explained everything,positive
"compassionate experience, highly recommend this hospital",positive
The nurse was supportive during my appointment,positive
Excellent care from the cardiology department,positive
The receptionist was caring during my treatment,positive
The clinic was clean and the staff was caring,positive
Excellent treatment from the cardiology department,positive
"excellent experience, highly recommend this hospital",positive
Excellent care from the oncology department,positive
Excellent service from the cardiology department,positive
"excellent experience, highly recommend this hospital",positive
Dr. Johnson provided caring care and explained everything,positive
Dr. Williams provided compassionate care and explained everything,positive
Dr. Brown provided supportive care and explained everything,positive
The hospital was clean and the staff was professional,positive
"excellent experience, highly recommend this hospital",positive
Dr. Garcia provided excellent care and explained everything,positive
The surgeon was excellent during my recovery,positive
The hospital was clean and the staff was excellent,positive
Dr. Brown provided excellent care and explained everything,positive
The doctor was excellent during my appointment,positive
The surgeon was supportive during my recovery,positive
The hospital was clean and the staff was compassionate,positive
Excellent care from the neurology department,positive
The specialist was excellent during my treatment,positive
Excellent treatment from the oncology department,positive
The clinic was clean and the staff was attentive,positive
Excellent service from the cardiology department,positive
The hospital was clean and the staff was attentive,positive
Excellent treatment from the oncology department,positive
Excellent service from the cardiology department,positive
"excellent experience, highly recommend this hospital",positive
The clinic was clean and the staff was caring,positive
Dr. Johnson provided excellent care and explained everything,positive
Excellent care from the neurology department,positive
Dr. Brown provided attentive care and explained everything,positive
"professional experience, highly recommend this hospital",positive
The receptionist was supportive during my appointment,positive
Dr. Smith provided caring care and explained everything,positive
"attentive experience, highly recommend this hospital",positive
The doctor was attentive during my surgery,positive
The clinic was clean and the staff was caring,positive
Dr. Johnson provided attentive care and explained everything,positive
The technician was attentive during my treatment,positive
Dr. Brown provided excellent care and explained everything,positive
The hospital was clean and the staff was excellent,positive
Dr. Smith provided professional care and explained everything,positive
The facility was clean and the staff was compassionate,positive
The receptionist was compassionate during my treatment,positive
Dr. Johnson provided compassionate care and explained everything,positive
Dr. Brown provided compassionate care and explained everything,positive
The facility was clean and the staff was caring,positive
Dr. Jones provided attentive care and explained everything,positive
Excellent care from the neurology department,positive
Excellent service from the emergency department,positive
Excellent treatment from the orthopedics department,positive
"excellent experience, highly recommend this hospital",positive
The clinic was clean and the staff was professional,positive
The facility was clean and the staff was compassionate,positive
Dr. Smith provided compassionate care and explained everything,positive
The clinic was clean and the staff was attentive,positive
"professional experience, highly recommend this hospital",positive
The technician was professional during my recovery,positive
The clinic was clean and the staff was professional,positive
Dr. Smith provided supportive care and explained everything,positive
Excellent service from the pediatrics department,positive
The hospital was clean and the staff was compassionate,positive
The facility was clean and the staff was caring,positive
Dr. Smith provided excellent care and explained everything,positive
The specialist was professional during my recovery,positive
The doctor was attentive during my appointment,positive
Dr. Garcia provided professional care and explained everything,positive
Excellent care from the cardiology department,positive
The specialist was attentive during my appointment,positive
Dr. Jones provided caring care and explained everything,positive
The hospital was clean and the staff was supportive,positive
Dr. Smith provided professional care and explained everything,positive
The hospital was clean and the staff was compassionate,positive
"excellent experience, highly recommend this hospital",positive
Excellent treatment from the cardiology department,positive
Dr. Smith provided professional care and explained everything,positive
Dr. Garcia provided supportive care and explained everything,positive
The specialist was compassionate during my appointment,positive
Dr. Johnson provided compassionate care and explained everything,positive
"caring experience, highly recommend this hospital",positive
"attentive experience, highly recommend this hospital",positive
The nurse was professional during my appointment,positive
The specialist was professional during my appointment,positive
Excellent care from the pediatrics department,positive
Excellent service from the pediatrics department,positive
Dr. Smith provided excellent care and explained everything,positive
Excellent treatment from the cardiology department,positive
Dr. Williams provided excellent care and explained everything,positive
Excellent service from the pediatrics department,positive
Excellent treatment from the pediatrics department,positive
"caring experience, highly recommend this hospital",positive
Excellent care from the oncology department,positive
The doctor was rude and dismissed my symptoms,negative
The technician was incompetent and ignored my concerns,negative
The specialist was incompetent and ignored my concerns,negative
The technician was incompetent and ignored my concerns,negative
The doctor was negligent and dismissed my symptoms,negative
"Terrible care, waited 7 hours in emergency",negative
The nurse was rude and ignored my concerns,negative
"Terrible treatment, waited 2 hours in emergency",negative
The oncology staff was rude and unhelpful,negative
"Terrible service, waited 7 hours in emergency",negative
The doctor was unprofessional and ignored my concerns,negative
The receptionist was dismissive and ignored my concerns,negative
"Terrible care, waited 7 hours in emergency",negative
The doctor was incompetent and dismissed my symptoms,negative
"Terrible treatment, waited 4 hours in emergency",negative
"Got rude treatment, my condition worsened",negative
The surgeon was dismissive and ignored my concerns,negative
"Got dismissive treatment, my condition worsened",negative
The specialist was dismissive and ignored my concerns,negative
The oncology staff was rude and unhelpful,negative
The doctor was negligent and dismissed my symptoms,negative
"Got rude treatment, my condition worsened",negative
The receptionist was negligent and ignored my concerns,negative
The doctor was dismissive and ignored my concerns,negative
"Terrible service, waited 4 hours in emergency",negative
The pediatrics staff was dismissive and unhelpful,negative
The pediatrics staff was rude and unhelpful,negative
"Terrible treatment, waited 2 hours in emergency",negative
"Terrible service, waited 4 hours in emergency",negative
"Terrible treatment, waited 6 hours in emergency",negative
The nurse was rude and ignored my concerns,negative
"Terrible treatment, waited 3 hours in emergency",negative
"Terrible treatment, waited 6 hours in emergency",negative
"Terrible care, waited 2 hours in emergency",negative
The emergency staff was unprofessional and unhelpful,negative
"Terrible care, waited 7 hours in emergency",negative
The emergency staff was incompetent and unhelpful,negative
The doctor was incompetent and dismissed my symptoms,negative
The specialist was incompetent and ignored my concerns,negative
The receptionist was incompetent and ignored my concerns,negative
"Terrible service, waited 5 hours in emergency",negative
The doctor was negligent and dismissed my symptoms,negative
The doctor was dismissive and dismissed my symptoms,negative
The oncology staff was unprofessional and unhelpful,negative
The receptionist was rude and ignored my concerns,negative
"Got rude treatment, my condition worsened",negative
"Terrible service, waited 2 hours in emergency",negative
The surgeon was incompetent and ignored my concerns,negative
The neurology staff was negligent and unhelpful,negative
The specialist was incompetent and ignored my concerns,negative
The neurology staff was unprofessional and unhelpful,negative
The cardiology staff was negligent and unhelpful,negative
The oncology staff was dismissive and unhelpful,negative
The cardiology staff was incompetent and unhelpful,negative
The doctor was unprofessional and dismissed my symptoms,negative
"Terrible treatment, waited 2 hours in emergency",negative
The surgeon was dismissive and ignored my concerns,negative
The neurology staff was incompetent and unhelpful,negative
"Terrible treatment, waited 4 hours in emergency",negative
"Terrible service, waited 2 hours in emergency",negative
The doctor was rude and dismissed my symptoms,negative
The doctor was rude and ignored my concerns,negative
The pediatrics staff was incompetent and unhelpful,negative
The oncology staff was negligent and unhelpful,negative
The oncology staff was negligent and unhelpful,negative
The doctor was negligent and dismissed my symptoms,negative
The doctor was negligent and ignored my concerns,negative
The nurse was dismissive and ignored my concerns,negative
The nurse was incompetent and ignored my concerns,negative
"Got dismissive treatment, my condition worsened",negative
The orthopedics staff was unprofessional and unhelpful,negative
"Got unprofessional treatment, my condition worsened",negative
"Terrible treatment, waited 2 hours in emergency",negative
"Terrible care, waited 7 hours in emergency",negative
The surgeon was dismissive and ignored my concerns,negative
The oncology staff was incompetent and unhelpful,negative
The pediatrics staff was incompetent and unhelpful,negative
"Terrible care, waited 3 hours in emergency",negative
The specialist was unprofessional and ignored my concerns,negative
The pediatrics staff was unprofessional and unhelpful,negative
"Terrible care, waited 4 hours in emergency",negative
The specialist was incompetent and ignored my concerns,negative
The doctor was rude and dismissed my symptoms,negative
"Got unprofessional treatment, my condition worsened",negative
"Terrible care, waited 7 hours in emergency",negative
The technician was negligent and ignored my concerns,negative
"Got rude treatment, my condition worsened",negative
"Got dismissive treatment, my condition worsened",negative
"Got negligent treatment, my condition worsened",negative
"Terrible service, waited 5 hours in emergency",negative
"Got dismissive treatment, my condition worsened",negative
The receptionist was rude and ignored my concerns,negative
The doctor was negligent and dismissed my symptoms,negative
"Got incompetent treatment, my condition worsened",negative
The doctor was rude and ignored my concerns,negative
"Got rude treatment, my condition worsened",negative
The doctor was rude and ignored my concerns,negative
The cardiology staff was unprofessional and unhelpful,negative
The cardiology staff was negligent and unhelpful,negative
"Got dismissive treatment, my condition worsened",negative
"Got incompetent treatment, my condition worsened",negative
The pediatrics staff was negligent and unhelpful,negative
"Got dismissive treatment, my condition worsened",negative
The specialist was rude and ignored my concerns,negative
The doctor was unprofessional and dismissed my symptoms,negative
The pediatrics staff was dismissive and unhelpful,negative
The doctor was rude and dismissed my symptoms,negative
The doctor was incompetent and dismissed my symptoms,negative
"Got rude treatment, my condition worsened",negative
The emergency staff was negligent and unhelpful,negative
The doctor was incompetent and ignored my concerns,negative
The technician was incompetent and ignored my concerns,negative
"Got incompetent treatment, my condition worsened",negative
"Got incompetent treatment, my condition worsened",negative
"Got negligent treatment, my condition worsened",negative
The emergency staff was negligent and unhelpful,negative
The doctor was rude and dismissed my symptoms,negative
"Terrible treatment, waited 4 hours in emergency",negative
"Terrible treatment, waited 2 hours in emergency",negative
"Terrible service, waited 4 hours in emergency",negative
The neurology staff was rude and unhelpful,negative
The nurse was rude and ignored my concerns,negative
The receptionist was dismissive and ignored my concerns,negative
The doctor was dismissive and dismissed my symptoms,negative
The oncology staff was incompetent and unhelpful,negative
"Terrible service, waited 6 hours in emergency",negative
"Got dismissive treatment, my condition worsened",negative
"Terrible service, waited 3 hours in emergency",negative
The pediatrics staff was dismissive and unhelpful,negative
The doctor was dismissive and dismissed my symptoms,negative
The receptionist was dismissive and ignored my concerns,negative
The cardiology staff was incompetent and unhelpful,negative
The doctor was dismissive and dismissed my symptoms,negative
"Terrible service, waited 3 hours in emergency",negative
"Got unprofessional treatment, my condition worsened",negative
The technician was incompetent and ignored my concerns,negative
The nurse was dismissive and ignored my concerns,negative
"Got rude treatment, my condition worsened",negative
The specialist was incompetent and ignored my concerns,negative
The orthopedics staff was negligent and unhelpful,negative
The pediatrics staff was rude and unhelpful,negative
The neurology staff was dismissive and unhelpful,negative
The doctor was dismissive and dismissed my symptoms,negative
"Terrible service, waited 7 hours in emergency",negative
The specialist was unprofessional and ignored my concerns,negative
The doctor was rude and dismissed my symptoms,negative
"Terrible service, waited 5 hours in emergency",negative
The orthopedics staff was unprofessional and unhelpful,negative
"Got incompetent treatment, my condition worsened",negative
The receptionist was dismissive and ignored my concerns,negative
The specialist was dismissive and ignored my concerns,negative
The doctor was negligent and dismissed my symptoms,negative
The doctor was rude and dismissed my symptoms,negative
The doctor was unprofessional and dismissed my symptoms,negative
The receptionist was unprofessional and ignored my concerns,negative
The doctor was unprofessional and ignored my concerns,negative
The doctor was dismissive and dismissed my symptoms,negative
The receptionist was incompetent and ignored my concerns,negative
The doctor was incompetent and dismissed my symptoms,negative
The orthopedics staff was incompetent and unhelpful,negative
"Got dismissive treatment, my condition worsened",negative
The doctor was negligent and dismissed my symptoms,negative
The cardiology staff was incompetent and unhelpful,negative
The receptionist was dismissive and ignored my concerns,negative
The orthopedics staff was unprofessional and unhelpful,negative
"Got unprofessional treatment, my condition worsened",negative
"Terrible treatment, waited 4 hours in emergency",negative
The emergency staff was dismissive and unhelpful,negative
"Terrible treatment, waited 3 hours in emergency",negative
"Got rude treatment, my condition worsened",negative
The doctor was negligent and dismissed my symptoms,negative
The doctor was dismissive and dismissed my symptoms,negative
"Got unprofessional treatment, my condition worsened",negative
"Got unprofessional treatment, my condition worsened",negative
The doctor was unprofessional and dismissed my symptoms,negative
"Got rude treatment, my condition worsened",negative
"Got unprofessional treatment, my condition worsened",negative
"Got incompetent treatment, my condition worsened",negative
The doctor was incompetent and ignored my concerns,negative
"Got incompetent treatment, my condition worsened",negative
"Terrible service, waited 7 hours in emergency",negative
"Terrible treatment, waited 7 hours in emergency",negative
The nurse was rude and ignored my concerns,negative
The doctor was negligent and dismissed my symptoms,negative
The neurology staff was incompetent and unhelpful,negative
The specialist was dismissive and ignored my concerns,negative
The oncology staff was incompetent and unhelpful,negative
"Terrible treatment, waited 5 hours in emergency",negative
The cardiology staff was incompetent and unhelpful,negative
The doctor was rude and dismissed my symptoms,negative
The doctor was incompetent and dismissed my symptoms,negative
The doctor was rude and ignored my concerns,negative
"Terrible care, waited 7 hours in emergency",negative
"Terrible service, waited 4 hours in emergency",negative
"Terrible service, waited 5 hours in emergency",negative
The doctor was rude and dismissed my symptoms,negative
The doctor was incompetent and dismissed my symptoms,negative
"Got negligent treatment, my condition worsened",negative
"Got negligent treatment, my condition worsened",negative
The doctor was rude and dismissed my symptoms,negative
The doctor was unprofessional and dismissed my symptoms,negative
"Got unprofessional treatment, my condition worsened",negative
"Got negligent treatment, my condition worsened",negative
The receptionist was rude and ignored my concerns,negative
The doctor was rude and dismissed my symptoms,negative
The pediatrics staff was rude and unhelpful,negative
"Terrible care, waited 6 hours in emergency",negative
"Got negligent treatment, my condition worsened",negative
The specialist was incompetent and ignored my concerns,negative
The cardiology staff was rude and unhelpful,negative
"Terrible care, waited 5 hours in emergency",negative
